Company Name,Sector,Country,City,Email,Website,Address,Tel/Fax,
,,,,,,P.O.Box 71343,Fax: +971 2-554-6161,
Central Motors and Equipment Company,Automotive,UAE,Abu Dhabi,centralmotors@alfahimgroup.ae,,P.O.Box 71343,Tel: +971 2-554-6262,
,,,,,,,Fax: +971 2-554-6161,
Central Trading Company,Conglomerates,UAE,Dubai,sales@ctc-uae.com,www.ctc-uae.com,Attar Building,Tel: +971 4-266-1600,
,,,,,,Mezzanine Floor,Tel: +971 4-295-4141,
,,,,,,Etihad Road,Fax: +971 4-268-5529,
,,,,,,P.O.Box 812,,
Centre of Excellence for Applied Research and Training,Services,UAE,Abu Dhabi,info@certonline.com,cert.hct.ac.ae,CERT Technology Park,Tel: +971 2-445-1514,
,,,,,,P.O.Box 5464,Fax: +971 2-446-2050,
Century Financial Brokers,Financial Services,UAE,Dubai,cfbinfo@centurybrokers.com,www.centurybrokers.com,"Burj Dubai, Al Khaleej Shopping Centre, Ramada Hotel",Tel: +971 4-351-6112,
,,,,,,"7th Floor, Suite 712",Fax: +971 4-355-9876,
,,,,,,Al Mankhool Road,,
Chalhoub Group,Conglomerates,UAE,Dubai,mct@mailmac.net,,Chalhoub Building,Tel: +971 4-804-5000,
,,,,,,Jabal Ali Free Zone,Fax: +971 4-804-5099,
,,,,,,P.O.Box 261075,,
Chescor Capital Group,Financial Services,UAE,Dubai,alan.moore@chescorcapital.com,www.chescorcapital.com,318 Building No 2,Tel: +971 4-391-0941,
,,,,,,Dubai Media City,Fax: +971 4-391-0943,
,,,,,,P.O.Box 500610,,
Chevron Al Khalij,Oil and Gas,UAE,Dubai,info@chevron.com,,Enoc Building No 3,Tel: +971 4-313-3939,
,,,,,,Sheikh Rashed Road,Tel: +971 4-313-3944,
,,,,,,P.O.Box 2155,Tel: +971 4-337-3220,
,,,,,,,Fax: +971 4-337-9262,
China Civil Engineering Construction Corporation,Construction,UAE,Abu Dhabi,cceccuae@emirates.net.ae,,MDAD Building 403,Tel: +971 2-645-9417,
,,,,,,Salam Street,Fax: +971 2-645-8873,
,,,,,,P.O.Box 43076,,
Chiyoda Corporation - UAE,Construction,UAE,Abu Dhabi,chiyoda@emirates.net.ae ,,P.O.Box 43928,Tel: +971 2-671-7161,
,,,,,,,Fax: +971 2-671-7162,
Christensen Gulf Services,Oil and Gas,UAE,Dubai,,,P.O.Box 73957,Tel: +971 4-883-6351,
,,,,,,,Fax: +971 4-883-6474,
Cimel Al Rostamani,Construction,UAE,Dubai,cardb@emirates.net.ae,,P.O.Box 16482,Tel: +971 4-295-4808,
,,,,,,,Fax: +971 4-295-4880,
Cimel Company UAE,Construction,UAE,Abu Dhabi,cimel@emirates.net.ae,,Al Najda Street,Tel: +971 2-6773963,
,,,,,,P.O.Box 2889,Fax: 02-6722804,
Cisco Systems,Telecoms and IT,UAE,Dubai,,www.cisco.com/me,Building 10,Tel: +971 4-390-7777,
,,,,,,Dubai Internet City,Fax: +971 4-390-7771,
,,,,,,P.O.Box 500321,,
Citadel Properties,Real Estate,UAE,Sharjah,citadel@emirates.net.ae,,Immigration Road,Tel: +971 6-574-6666,
,,,,,,P.O.Box 28248,Fax: +971 6-574-1666,
Citigold Corporation,Mining and Metals,UAE,Dubai,gold@citigold.com,www.citigold.com,Sheikh Zayed Road,Tel: +971 4-340-4588,
,,,,info@citigold.com,,Gold and Diamond Park,Fax: +971 4-340-7768,
,,,,,,P.O.Box 38148,,
Citigroup,Financial Services,UAE,Dubai,,www.citigroup.com,P.O.Box 749,Tel: +971 4-311-4411,
,,,,,www.citiislamic.com,,Tel: +971 4-324-4000,
,,,,,,,Tel: +971 4-324-5000,
,,,,,,,Fax: +971 4-324-3138,
City of Arabia,Real Estate,UAE,Dubai,info@cityofarabia.ae,www.cityofarabiame.com,Capricorn Tower,Tel: +971 4-331-1022,
,,,,,,10th Floor,Fax: +971 4-332-2311,
,,,,,,Sheikh Zayed Road,,
,,,,,,P.O.Box 114444,,
Cleveland Bridge and Engineering Middle East,Construction,UAE,Dubai,contact@clevelandbridge.co.ae,www.clevelandbridge.co.ae,Jebel Ali Free Zone,Tel: +971 4-883-5551,
,,,,,,P.O.Box 16765,Fax: +971 4-883-5416,
Clifford Chance,Services,UAE,Dubai,,www.cliffordchance.com,P.O.Box 9380,Tel: +971 4-331-4333,
,,,,,,,Fax: +971 4-331-3990,
Clipsal Middle East,Industrial Manufacturing,UAE,Sharjah,clipsal@emirates.net.ae,,P.O.Box 8181,Tel: +971 6-557-0777,
,,,,,,,Fax: +971 6-557-0333,
Cloisall Company,Construction,UAE,Dubai,cloisall@emirates.net.ae,www.cloisall-gulf.com ,Al Wahibi Building,Tel: +971 4-282-5100,
,,,,,,Al Gharhood Street,Fax: +971 4-282-2376,
,,,,,,P.O.Box 3366,Fax: +971 4-282-5300,
Clyde and Company,Services,UAE,Dubai,mero@clydeco.ae,www.clydeco.com,City Tower 2,Tel: +971 4-331-1102,
,,,,,,3rd Floor,Fax: +971 4-331-9902,
,,,,,,Sheikh Zayed Road,,
,,,,,,P.O.Box 7001,,
Commercial Bank International,Financial Services,UAE,Dubai,cbiho@emirates.net.ae,www.cbiuae.com,Al Riqqa Street,Tel: +971 4-227-5265,
,,,,customercare@cbi.ae,,P.O.Box 4449,Fax: +971 4-227-9038,
,,,,,,,,
Commercial Bank of Dubai,Financial Services,UAE,Dubai,cbd-ho@abd.co.ae,www.cbd.ae,Al Ittihad Street,Tel: +971 4-212-1000,
,,,,,,Port Saeed,Fax: +971 4-212-1111,
,,,,,,P.O.Box 2668,,
Commodore Contracting,Construction,UAE,Abu Dhabi,commodore@commodore.ae,www.commodore-contracting.com ,Mansour Jewelry Building,Tel: +971 2-626-5222,
,,,,,,Khalifa Street,Fax: +971 2-626-5666,
,,,,,,P.O.Box 2023,,
Communications Development Corporation,Financial Services,UAE,Dubai,,,P.O.Box 31477,Tel: +971 4-331-8511,
,,,,,,,Fax: +971 4-331-8866,
CompuMe,Telecoms and IT,UAE,Dubai,compume@compume.com,www.compume.com/,P.O.Box 27008,Tel: +971 4-2828555,
,,,,,,,Fax: +971 4-2828666,
Computer Network Systems,Telecoms and IT,UAE,Abu Dhabi,info@cnsuae.co.ae,www.cnsuae.co.ae,P.O.Box 46144,Tel: +971 2-644-2888,
,,,,,,,Fax: +971 2-644-0151,
Computer and Communication Systems,Telecoms and IT,UAE,Dubai,ccs@ccsfze.co.ae,www.ccs.ae,P.O.Box 61185,Tel: +971 4-883-8838,
,,,,,,,Fax: +971 4-883-8836,
Concorde Corodex Group,Conglomerates,UAE,Dubai,info@corodex.com,www.corodex.com,Sheikh Zayed Road,Tel: +971 4-347-2900,
,,,,,,Al Quoz Industrial Area,Fax: +971 4-347-2796,
,,,,,,P.O.Box 12282,,
Concorde Trading Company,Conglomerates,UAE,Abu Dhabi,concord@emirates.net.ae,,P.O.Box 2617,Tel: +971 2-666-8770,
,,,,,,,Tel: +971 2-666-8771,
,,,,,,,Fax: +971 2-666-7863,
Conmix,Construction,UAE,Sharjah,conmix@conmix.com,www.conmix.com,Al Khan Industrial Area No 7,Tel: +971 6-531-4155,
,,,,,,P.O.Box 5936,Fax: +971 6-531-4332,
ConocoPhillips Middle East,Oil and Gas,UAE,Dubai,,,City Tower Bldg 1,Tel: +971 4-3310055,
,,,,,,Sheikh Zayed Road,Fax: 04-3012794,
,,,,,,P.O.Box 2222,,
Consent,Construction,UAE,Dubai,,,Al Quoz Industrial Area,Tel: +971 4-3472011,
,,,,,,P.O.Box 136,Fax: 04-3472957,
Consolidated Contractors Company (Underwater Engineering),Construction,UAE,Abu Dhabi,info@ccc.co.ae,www.ccc-underwater-eng.ae,Mussafah Industrial Area,Tel: +971 2-555-3656,
,,,,,,P.O.Box 224,Fax: +971 2-555-3641,
Construction Machinery Center Company,Industrial Manufacturing,UAE,Dubai,cmcdxb@emirates.net.ae,,Nr Airport,Tel: +971 4-2858959,
,,,,,,P.O.Box 5261,Fax: 04-2852427,
Continental Group International,Financial Services,UAE,Dubai,dba@continental-intl.com,www.continental-intl.com,Al Abbar Building,Tel: +971 4-335-3433,
,,,,,,2nd Floor,Fax: +971 4-335-2553,
,,,,,,P.O.Box 26588,,
Continental Insurance Brokers,Financial Services,UAE,Dubai,,,"C/O, Continental Group International , Al Abbar Building, 2nd Floor, PO Box 26588, Dubai, United Arab Emirates",Tel: +971 4-335-3433,
,,,,,,,Fax: +971 4-335-2553,
Continental Real Estate,Real Estate,UAE,Sharjah,contrs@emirates.net.ae,www.continentalrst.com,Al Mina Road,Tel: +971 6-572-5665,
,,,,,,P.O.Box 21037,Fax: +971 6-572-6057,
Contracting and Trading Company (UAE),Construction,UAE,Abu Dhabi,catnt@emirates.net.ae,www.catgroup.net,P.O.Box 250,Tel: +971 2-272-1626,
,,,,,,,Tel: +971 2-672-1626,
,,,,,,,Tel: +971 2-672-7327,
,,,,,,,Fax: +971 2-672-7329,
,,,,,,,Fax: +971 2-672-7392,
Coral International Hotels Resorts and Spas,Travel and Tourism,UAE,Dubai,info@coral-international.com,www.coral-international.com,Coral Deira,Tel: +971 4-223-3448,
,,,,,,Muraqqabat Street,Fax: +971 4-227-7449,
,,,,,,Deira,,
,,,,,,P.O.Box 66232,,
Cordoba Development Company,Construction,UAE,Abu Dhabi,,,Rashed Al Rashed Building,Tel: +971 2-6335118,
,,,,,,Sheikh Khalifa Street,Fax: 02-6339522,
,,,,,,P.O.Box 2386,,
Corporate Publishing International,Media,UAE,Dubai,info@cpidubai.com,www.cpilive.net,Siddiqi Building,Tel: +971 4-351-5316,
,,,,,,"Office 2006, 2nd Floor",Fax: +971 4-359-8486,
,,,,,,Khaled Bin Walid Street,,
,,,,,,Bur Dubai,,
,,,,,,P.O.Box 13700,,
Corus Middle East,Mining and Metals,UAE,Dubai,Haydarib@corusmiddleeast.com,,P.O.Box 9217,Tel: +971 4-3388586,
,,,,,,,Fax: 04-3389970,
Cosmoplast Industrial Company,Basic Materials,UAE,Sharjah,cplast@emirates.net.ae,www.cosmoplast.com,P.O.Box 6032,Tel: +971 6-533-1264,
,,,,,,,Fax: +971 6-533-1917,
Costain Abu Dhabi,Construction,UAE,Abu Dhabi,,www.costain.com,Mussafah Industrial Area,Tel: +971 2-555-3920,
,,,,costainad@costain.ae,www.costain.com,P.O.Box 3069,Fax: +971 2-555-9598,
Costain International,Construction,UAE,Dubai,cildubai@emirates.net.ae,,Regional Headquarters,Tel: +971 4-345-1350,
,,,,,,P.O.Box 2526,Fax: +971 4-345-1351,
Courtyard by Marriott Green Community Dubai,Travel and Tourism,UAE,Dubai,dubaicy@emirates.net.ae,,"Green Community, Dubai Investment Park",Tel: +971 4-885-2222,
,,,,,,Jebel Ali Free Zone,Fax: +971 4-885-2525,
,,,,,,P.O.Box 63845,,
Credo Investments,Real Estate,UAE,Dubai,info@credouae.com,www.credouae.com,Khalil Al Sayegh Building,Tel: +971 4-335-5092,
,,,,,,Suite M04,Fax: +971 4-335-3766,
,,,,,,Oud Metha Road,,
,,,,,,P.O.Box 120168,,
Crescent Oilfield Supplies Establishment,Oil and Gas,UAE,Abu Dhabi,attag@emirates.net.ae,,P.O.Box 7355,Tel: +971 2-6332565,
,,,,,,,Fax: 02-6332212,
Crescent Petroleum Company,Oil and Gas,UAE,Sharjah,mail@crescent.ae,www.crescent.ae,P.O.Box 2222,Tel: +971 6-572-7000,
,,,,,,,Fax: +971 6-572-6000,
Crescent Standard Investment Bank Limited,Financial Services,UAE,Dubai,ahmadgoheer@csibl.com,www.crescentstandard.com,P.O.Box 73135,Tel: +92 42-1119-12912,
,,,,,www.csibl.com,,Tel: +971 4-319-9316,
,,,,,,,Fax: +92 42-578-3760,
,,,,,,,Fax: +971 4-319-7757,
Crowne Plaza Abu Dhabi,Travel and Tourism,UAE,Abu Dhabi,,,Hamdan Street,Tel: +971 2-621-0000,
,,,,,,P.O.Box 3541,Fax: +971 2-621-7444,
Crowne Plaza Dubai,Travel and Tourism,UAE,Dubai,cpdxb@cpdxb.co.ae,www.crowneplaza.com,P.O.Box 23215,Tel: +971 4-331-1111,
,,,,,,,Fax: +971 4-331-5555,
Cupola Group,Conglomerates,UAE,Dubai,cupola@emirates.net.ae,,P.O.Box 23448,Tel: +971 4-330-0090,
,,,,,,,Fax: +971 4-330-0390,
Cylingas Company,Mining and Metals,UAE,Dubai,,,P.O.Box 5698,Tel: +971 4-347-2648,
,,,,,,,Fax: +971 4-347-4379,
D and K Holdings,Oil and Gas,UAE,Dubai,dnkpl@dnkpetrol.com,,ENOC Building,Tel: +971 4-313-5901,
,,,,,,Sheikh Rashid Street,Tel: +971 4-313-5999,
,,,,,,Oud Al Maysa Area,Fax: +971 4-313-5902,
,,,,,,P.O.Box 6442,,
DAMAC Holding,Conglomerates,UAE,Dubai,info@damacgroup.com,www.damacholding.com,Al Moosa Tower 2,Tel: +971 4-332-2005,
,,,,,,"5th Floor, Office 501",Fax: +971 4-332-5335,
,,,,,,Sheikh Zayed Road,,
,,,,,,P.O.Box 2195,,
DAMAC Invest Company,Financial Services,UAE,Dubai,,,"C/O, DAMAC Holding, PO Box 2195, Dubai, United Arab Emirates",Tel: +971 4-332-2005,
,,,,,,,Fax: +971 4-332-5335,
DAMAC Properties,Real Estate,UAE,Dubai,contact@damacgroup.com,www.damacproperties.com,Al Moosa Tower 2,Tel: +971 4-332-2005,
,,,,difc@damacgroup.com,,5th Floor,Fax: +971 4-332-5335,
,,,,,,Sheikh Zayed Street,,
,,,,,,P.O.Box 2195,,
DAMAC Services and Trading,Services,UAE,Dubai,blues@damacgroup.com,,"C/O, DAMAC Holding, PO Box 2195, Dubai, United Arab Emirates",Tel: +971 4-332-2005,
,,,,,,,Fax: +971 4-332-5335,
DEPA Interiors,Consumer Goods,UAE,Dubai,depa@depa.ae,www.depa-interiors.com,Al Reem Tower,Tel: +971 4-224-3800,
,,,,,,18th Floor,Tel: +971 4-228-5850,
,,,,,,Al Maktoum Street,Fax: +971 4-224-3700,
,,,,,,P.O.Box 56338,,
DEPA United Group,Construction,UAE,Dubai,contact@depa.ae,www.depa.ae,Al Reem Tower,Tel: +971 4-224-3800,
,,,,,,18th Floor,Fax: +971 4-224-3700,
,,,,,,Al Maktoum Street,,
,,,,,,P.O.Box 56338,,
DHL International UAE,Transport,UAE,Dubai,,,Dubai International Airport,Tel: +971 4-299-5333,
,,,,,,P.O.Box 6252,Fax: + 971 4-299-5116,
DIB Sukuk,Other,UAE,Dubai,,,"C/O, Dubai Islamic Bank, P.O. Box 1080",Tel: +971 4-295-3000,
,,,,,,,Fax: +971 4-295-4111,
DLA Piper Worldwide,Services,UAE,Dubai,info@dlapiper.com,www.dlapiper.com,"Emaar Business Park, Building Number 1",Tel: +971 4-363-6900,
,,,,,,"Level 7, Office 2",Fax: +971 4-363-6901,
,,,,,,Sheikh Zayed Road,,
,,,,,,P.O.Box 121662,,
DMG World Media Dubai,Services,UAE,Dubai,dmg@emirates.net.ae,www.dmgdubai.com,Al Mosa Tower 2,Tel: +971 4-331-9688,
,,,,,,Suite 203,Fax: +971 4-331-9480,
,,,,,,P.O.Box 33817,,
DOM International,Media,UAE,Dubai,dom@dom.ae,www.dom.ae,Al Khail Road,Tel: +971 4-341-1885,
,,,,,,Al Qouz Industrial Area,Tel: +971 4-391-8388,
,,,,,,P.O.Box 37532,Fax: +971 4-341-1575,
,,,,,,,Fax: +971 4-391-8496,
DP World,Transport,UAE,Dubai,info@dpworld.com,www.dpworld.com,Building Number 17,Tel: +971 4-881-1110,
,,,,,,5th Floor,Tel: +971 4-881-5555,
,,,,,,Jebel Ali Free Zone,Fax: +971 4-881-1331,
,,,,,,P.O.Box 17000,,
DTK Company Middle East,Telecoms and IT,UAE,Dubai,,www.dtkme.com,P.O.Box 61410,Tel: +971 4-883-8828,
,,,,,,,Fax: +971 4-883-8971,
Daallo Airlines,Transport,UAE,Dubai,daallo@emirates.net.ae,www.daallo.com,Executive Office,Tel: +971 4-273-3808,
,,,,,,,Fax: +971 4-273-4464,
Dabbagh Information Technology Group,Media,UAE,Dubai,info@ditnet.co.ae,www.dit.net,"Building 9, Office 120 and 121",Tel: +971 4-390-3636,
,,,,,,Dubai Media City,Fax: +971 4-390-8494,
,,,,,,P.O.Box 6093,,
Daewoo Electronics Middle East,Consumer Goods,UAE,Dubai,daewoo@dwe.ae,,Jebel Ali,Tel: +971 4-883-8349,
,,,,,,P.O.Box 61163,Fax: +971 4-883-8302,
Daff Trading and Oil Services,Oil and Gas,UAE,Abu Dhabi,dafftrdg@emirates.net.ae,,P.O.Box 7399,Tel: +971 2-677-8000,
,,,,,,,Fax: +971 2-678-1265,
DaimlerChrysler Middle East,Automotive,UAE,Dubai,info@mideast.daimlerchrysler.com,www.mideast.daimlerchrysler.com,Jebel Ali Free Zone,Tel: +971 4-883-3200,
,,,,,www.mideast.dodge.com,P.O.Box 17880,Fax: +971 4-883-3201,
,,,,,www.mideast.jeep.com,,,
,,,,,www.mideast.mercedes-benz.com,,,
,,,,,,,,
Dalma Energy,Oil and Gas,UAE,Abu Dhabi,abu.dhabi@dalmaenergy.com,www.dalmaenergy.com,Ministry of Energy Building,Tel: +971 2-626-4466,
,,,,,,12th Floor,Fax: +971 2-626-8228,
,,,,,,Corniche Street,,
,,,,,,P.O.Box 46226,,
Daman Securities,Financial Services,UAE,Dubai,info@daman.ae,,Dubai World Trade Centre,Tel: +971 4-332-4140,
,,,,,,Suite 600,Fax: +971 4-332-4240,
,,,,,,Sheikh Zayed Road,,
,,,,,,P.O.Box 9436,,
Damas Jewellery,Consumer Goods,UAE,Dubai,Gold@damasjewelry.com,www.damasjewel.com,P.O.Box 1522,Tel: +971 4-225-5206,
,,,,,,,Tel: +971 4-226-6036,
,,,,,,,Fax: +971 4-226-3789,
,,,,,,,Fax: +971 4-229-0242,
Dana Gas,Oil and Gas,UAE,Sharjah,mail@danagas.ae ,www.danagas.ae,P.O.Box 2011,Tel: +971 6-556-9444,
,,,,,,,Fax: +971 6-556-6522,
Dana Property Development,Real Estate,UAE,Dubai,info@dana.ae,www.dana.ae,Dana Center Building,Tel: +971 4-228-1818,
,,,,,,Office 102,Fax: +971 4-228-2666,
,,,,,,Al Maktoum Street,,
,,,,,,P.O.Box 6662,,
Danube Building Materials,Construction,UAE,Dubai,info@aldanube.com,www.aldanube.com,"Logistics and Distribution Center, Value Added Services Factory",Tel: +971 4-887-1234,
,,,,,,Jebel Ali Free Zone,Fax: +971 4-887-1235,
,,,,,,P.O.Box 18022,,
Danway Emirates,Industrial Manufacturing,UAE,Dubai,info@danwayirs.com,www.danwayllc.com,Danway Building,Tel: +971 4-347-3700,
,,,,,,Sheikh Zayed Road,Fax: +971 4-347-3232,
,,,,,,P.O.Box 50048,,
Dar Al Binaa Contracting Company,Construction,UAE,Abu Dhabi,darbina@emirates.net.ae,,P.O.Box 201,Tel: +971 2-6213040,
,,,,,,,Tel: +971 2-6213060,
,,,,,,,Tel: +971 2-6213070,
,,,,,,,Fax: 02-6212162,
Dar Al Shifa Hospital,Healthcare,UAE,Abu Dhabi,,www.daralshifa.com,Al Najda Street,Tel: +971 2-641-6999,
,,,,,,P.O.Box 2519,Fax: +971 2-641-6669,
Dar Al Sondos Hotel Apartments by Le Meridien,Travel and Tourism,UAE,Dubai,reservations@daralsondos-lemeridien.com,www.alsondos-lemeridien.com,P.O.Box 5050,Tel: +971 4-294-9797,
,,,,,,,Tel: +971 4-393-8000,
,,,,,,,Fax: +971 4-295-2122,
Dar Consult,Real Estate,UAE,Dubai,dar@emirates.net.ae,www.dar.ae,Saleh Bin Lahej Building,Tel: +971 4-282-8800,
,,,,,,Office No 107,Fax: +971 4-282-8877,
,,,,,,P.O.Box 31122,,
Darahem Financial Brokerage,Financial Services,UAE,Dubai,info@darahem.ae,www.darahem.ae,World Trade Center,Tel: +971 4-331-1313,
,,,,,,13th Floor,Fax: +971 4-331-1414,
,,,,,,Sheikh Zayed Road,,
,,,,,,P.O.Box 77699,,
Darwish Bin Ahmed and Sons Group,Conglomerates,UAE,Abu Dhabi,trucks@dbasons.com,www.dbasons.com,Darwish Building,Tel: +971 2-558-4800,
,,,,,,Umm Al Nar,Fax: +971 2-558-2242,
,,,,,,P.O.Box 28883,,
Darwish Engineering UAE,Construction,UAE,Ajman,darengg@emirates.net.ae,www.darwishengineering.com,New Industrial Area,Tel: +971 6-743-5161,
,,,,,,P.O.Box 873,Fax: +971 6-743-6484,
Darwish Trading Establishment,Conglomerates,UAE,Dubai,,,P.O.Box 380,Tel: +971 4-226-2166,
,,,,,,,Fax: +971 4-226-3585,
Data Processing Systems,Telecoms and IT,UAE,Abu Dhabi,info@dpsuae.co,www.dpsuae.com,Al Ghaith Tower,Tel: +971 2-626-8800,
,,,,,,14th Floor,Fax: +971 2-626-9901,
,,,,,,Hamdan Street,,
,,,,,,P.O.Box 4895,,
Debbas Electric,Industrial Manufacturing,UAE,Dubai,debbasme@emirates.net.ae,,P.O.Box 6999,Tel: +971 4-223-2000,
,,,,,,,Fax: +971 4-222-1286,
Decol Debt Collections,Financial Services,UAE,Dubai,enquiries@decol-creditnet.com,www.decol-creditnet.com/,P.O.Box 56286,Tel: +971 4-222-6007,
,,,,,,,Fax: +971 4-222-2443,
Deira City Centre,Real Estate,UAE,Dubai,infodesk@mafgroup.ae,www.deiracitycentre.com,Deira City Centre,Tel: +971 4-295-4545,
,,,,,,3rd Floor,Fax: +971 4-295-5252,
,,,,,,Creek Area,,
,,,,,,P.O.Box 60772,,
Dell Computer,Telecoms and IT,UAE,Dubai,,www.dell.co.ae,Dubai Internet City,Tel: +971 4-3911860,
,,,,,,P.O.Box 500111,Fax: +971 4-3918792,
Delmon Hotel,Travel and Tourism,UAE,Dubai,delmon4@emirates.com,,P.O.Box 81282,Tel: +971 4-228-0222,
,,,,,,,Fax: +971 4-268-4212,
Delta Capital,Financial Services,UAE,Dubai,info@deltapartnersgroup.com,,"Al Shatha Tower 1, Offices 8 and 9",Tel: +971 4-369-2999,
,,,,,,12th floor,Fax: +971 4-368-8408,
,,,,,,Dubai Internet City,,
,,,,,,P.O.Box 502428,,
Delta Medical Establishment,Healthcare,UAE,Abu Dhabi,deltamed@emirates.net.ae,www.deltamed.ae/,P.O.Box 3084,Tel: +971 2-681-4644,
,,,,,,,Fax: +971 2-681-4645,
Demas and Al Farhan Engineering and Contracting Company,Construction,UAE,Sharjah,,,P.O.Box 515,Tel: +971 6-5513333,
,,,,,,,Tel: +971 6-5584666,
,,,,,,,Fax: 06-5515999,
,,,,,,,Fax: 06-5620999,
Denton Wilde Sapte,Services,UAE,Dubai,dubai@dentonwildesapte.com,www.dentonwildesapte.com,API World Tower,Tel: +971 4-331-0220,
,,,,,,26th Floor,Fax: +971 4-331-0201,
,,,,,,Sheikh Zayed Road,,
,,,,,,P.O.Box 1756,,
Department of Civil Aviation - Abu Dhabi,Transport,UAE,Abu Dhabi,dcaauh@emirates.net.ae,www.dcaauh.gov.ae,P.O.Box 20,Tel: +971 2-575-7500,
,,,,info@dcaauh.gov.ae,,,Fax: +971 2-575-7285,
,,,,,,,,
Department of Civil Aviation - Dubai,Transport,UAE,Dubai,dca.dubai.ae,,P.O.Box 2525,Tel: +971 4-216-2525,
,,,,sme@dca.gov.ae,,,Tel: +971 4-224-5555,
,,,,,,,Fax: +971 4-224-4067,
,,,,,,,Fax: +971 4-224-4074,
Department of Civil Aviation - Sharjah,Transport,UAE,Sharjah,dgdca@sharjahairport.ae,www.sharjahairport.gov.ae,Airport Road,Tel: +971 6-508-1002,
,,,,,,Moileh,Tel: +971 6-558-1111,
,,,,,,P.O.Box 8,Tel: +971 6-558-1313,
,,,,,,,Fax: +971 6-558-0880,
Department of Economic Development,Government,UAE,Dubai,economic@dubaided.gov.ae,www.dubaided.gov.ae,Al Maktoum Street,Tel: +971 4-222-9922,
,,,,,,P.O.Box 13223,Fax: +971 4-222-5577,
Department of Health and Medical Services,Government,UAE,Dubai,info@dohms.gov.ae,www.dohms.gov.ae,P.O.Box 4545,Tel: +971 4-337-0031,
,,,,,,,Fax: +971 4-337-4563,
Department of Tourism and Commerce Marketing,Travel and Tourism,UAE,Dubai,info@dubaitourism.ae,www.dubaitourism.ae,P.O.Box 594,Tel: +971 4-223-0000,
,,,,,,,Fax: +971 4-223-0022,
Desert Roofing and Flooring Group,Construction,UAE,Dubai,drfco@emirates.net.ae,www.drfco.net/des.htm,Al Aweer Industrial Area,Tel: +971 4-333-1003,
,,,,,,P.O.Box 185,Fax: +971 4-333-1427,
,,,,,,,Fax: +971 4-333-1407,
Design Concepts,Construction,UAE,Dubai,girish01@emirates.net.ae,,P.O.Box 24465,Tel: +971 4-2220432,
,,,,,,,Fax: 04-2216854,
Deutsche Bank,Financial Services,UAE,Dubai,dubai.reception@db.com ,www.db.com,The Gate Building,Tel: +971 4-361-1700,
,,,,,,West Wing,Fax: +971 4-362-1184,
,,,,,,3rd Floor,,
,,,,,,Dubai International Financial Center,,
,,,,,,P.O.Box 504902,,
Development General Trading Company,Industrial Manufacturing,UAE,Dubai,,,P.O.Box 3335,Tel: +971 4-2245878,
Development Trading and Contracting Company,Construction,UAE,Ras Al Khaimah,dtc1972@hotmail.com,,Al Montaser Street,Tel: +971 7-228-8464,
,,,,,,"Al Nakheel,",Fax: +971 7-228-5600,
,,,,,,P.O.Box 153,,
Dewan Architects and Engineers,Construction,UAE,Dubai,dubai@dewan-architects.com,www.dewan-architects.com/,P.O.Box 60990,Tel: +971 4-395-6566,
,,,,,,,Fax: +971 4-395-6900,
Dexion Middle East,Consumer Goods,UAE,Dubai,dexionme@emirates.net.ae,www.dexion.co.uk,Jebel Ali Free Zone,Tel: +971 4-8819066,
,,,,,,P.O.Box 61426,Fax: 04-8819055,
Deyaar Development Company,Real Estate,UAE,Dubai,info@deyaar.ae,www.deyaar.ae,Al Masoud Building,Tel: +971 4-295-5844,
,,,,rent@deyaar.ae,,Airport Road,Fax: +971 4-295-4029,
,,,,,,Port Saeed Area,Fax: +971 4-295-5122,
,,,,,,P.O.Box 30833,,
Dhafir Group,Conglomerates,UAE,Abu Dhabi,dhafirco@emirates.ae,,Dhafir Building,Tel: +971 2-677-4656,
,,,,,,Al Najda Street,Fax: +971 2-677-6786,
,,,,,,P.O.Box 4330,,
Dhow Palace Hotel,Travel and Tourism,UAE,Dubai,info@dhowpalacedubai.com,www.dhowpalacehoteldubai.com,Kuwait Street,Tel: +971 4-359-9992,
,,,,,,P.O.Box 121545,Fax: +971 4-359-9292,
Diamond Investments,Real Estate,UAE,Dubai,info@diamond-investments.ae,www.diamond-investments.ae,Garhoud View Building,Tel: +971 4-286-9699,
,,,,,,"7th Floor, Office 714",Fax: +971 4-286-5658,
,,,,,,Garhoud Road,,
,,,,,,P.O.Box 21536,,
Diamondlease,Travel and Tourism,UAE,Dubai,generaladm@diamondlease.com,www.diamondlease.com,Kharbash Building,Tel: +971 4-321-5116,
,,,,,,Sheikh Zayed Road,Tel: +971 4-343-4330,
,,,,,,P.O.Box 32689,Fax: +971 4-321-5160,
Diba Group,Real Estate,UAE,Dubai,,,-,,
Dimensions Engineering Consultant,Construction,UAE,Dubai,dxbinfo@dimensions-ec.com,www.dimensions-ec.com,Khaled Al Attar Tower,Tel: +971 4-227-9339,
,,,,,,"4th Floor, Flat 402",Fax: +971 4-227-8404,
,,,,,,Maktoum Street,,
,,,,,,Deira,,
,,,,,,P.O.Box 31530,,
Direct Shipping Services,Transport,UAE,Dubai,info@dssdxb.ae,www.dssin.com,Arenco Building,Tel: +971 4-337-1553,
,,,,,,Block A,Fax: +971 4-337-1554,
,,,,,,Zabeel Road,,
,,,,,,P.O.Box 52262,,
